frame_id,arm,seed,raw_diagonal_px,base_frame_mean_px,method_frame_mean_px,method_frame_normalized,gain_frame_px,correction_mean_px,correction_max_px,utility_mean,actual_candidate_gain_mean_px,mode_ambiguity_mean
TEX__shard_06_f0925,direct,3,791.9595947265625,3.863285997440304,5.955742299753042,0.007520260300412628,-2.092456302312738,5.291131087744624,7.919595826637903,0.07244448053340118,-4.166384696960449,0.6322707881530126
G38__G__f29713,direct,3,1101.45361328125,3.689065362392385,5.610207836283083,0.0050934581072099566,-1.921142473890698,2.283100271336922,7.367678591348668,0.08763808415581782,-2.142437696456909,0.6744676828384399
TEX__shard_03_f0886,hough,1,865.3323364257812,0.8942954010827757,1.1594992225427605,0.001339946716116057,-0.2652038214599848,0.8282453105124081,1.8334168041051524,0.21395126481850943,-0.6177199482917786,0.3901672561963399
TEX__shard_06_f0123,hough,1,800.0,1.8724473466934188,1.606621860502993,0.002008277325628741,0.2658254861904259,1.248844956302733,2.4257765520754226,0.20021450022856394,-0.11860394477844238,0.4539740930000941
G38__G__f15878,hough,1,865.3323364257812,1.413268427926336,1.368203058985606,0.0015811301639748157,0.04506536894072988,0.45576639624842885,0.8268753590897611,0.21797255550821623,-0.09520570188760757,0.4631250227491061
G38__G__f23773,hough,1,1101.45361328125,1.93793301177466,2.323254778224377,0.002109262478429173,-0.38532176644971683,1.37009344978661,3.196154970307504,0.20043854725857577,-0.6206233501434326,0.5256203214327494
P0__shard_06_f0228,hough,1,800.0,0.9607928840572909,0.8910149538726393,0.001113768692340799,0.06977793018465162,0.4955087910787196,0.6704034408373283,0.1872226633131504,-0.20735757052898407,0.42834258327881497
P0__shard_07_f0807,hough,1,1101.45361328125,4.2995409857601885,4.623930124262837,0.004198025289951219,-0.3243891385026485,1.3511374543776462,3.0261804032597253,0.20339595774809519,-0.5217024683952332,0.49546615531047183
P0__shard_00_f0066,hough,1,1101.45361328125,5.039668316379208,6.396126436167613,0.005806986657489314,-1.356458119788405,3.0596486383897017,7.3978946194777935,0.2216248990346988,-0.9035376906394958,0.444496788084507
G38__G__f35828,hough,1,800.0,3.622612022316856,5.018457577956839,0.006273071972446049,-1.3958455556399834,2.2120583930904942,6.707589706225026,0.20964381471276283,-0.8217617869377136,0.513270470003287
TEX__shard_05_f0613,hough,1,1101.45361328125,2.5491550744268663,2.194175692783827,0.0019920727176583847,0.3549793816430391,1.004866114624003,2.885345933330386,0.20414958645900091,-0.20947133004665375,0.4326222166419029
G38__G__f19284,hough,1,1101.45361328125,4.554505448533698,3.4070142943974937,0.0030931981640587997,1.1474911541362043,3.9805074884735743,11.014537038140869,0.26593319326639175,0.4801253378391266,0.5301500161488851
P0__shard_00_f0296,hough,1,800.0,2.058027027061961,3.2957587503483143,0.004119698437935393,-1.2377317232863532,2.0346733798680137,4.741216004589469,0.19888660063346228,-1.5323110818862915,0.43304144591093063
G38__G__f6313,hough,1,1101.45361328125,6.976962478258084,7.106896837884877,0.006452288822870447,-0.12993435962679278,2.640085356678871,6.147647309833827,0.23718941335876784,-1.061292052268982,0.43029676626125973
G38__G__f0717,hough,1,865.3323364257812,5.935746467057425,6.525976878252477,0.007541584433568898,-0.5902304111950523,2.5620895869093028,8.653323604294446,0.18421344086527824,-0.6492547392845154,0.45623140782117844
P0__shard_04_f0738,hough,1,1101.45361328125,2.7224922288684987,2.6587655180712066,0.002413869713632966,0.06372671079729209,0.49222670606360885,0.8409301245512512,0.20561240054666996,0.05318937823176384,0.49865243832270306
G38__G__f5154,hough,1,865.3323364257812,3.0284545784375445,5.280395159303729,0.0061021586008378915,-2.2519405808661843,4.089181479406596,8.653323466150896,0.27168230215708417,-1.561286449432373,0.5574683795372645
G38__G__f1423,hough,1,1101.45361328125,2.0779514946294793,2.0656336261661945,0.0018753705115303358,0.012317868463284753,0.7722536197591116,1.258429530807917,0.22095290074745813,-0.31382712721824646,0.4336516087253888
G38__G__f0622,hough,1,800.0,2.567571348812291,4.536823984504849,0.005671029980631062,-1.9692526356925582,2.8763733917809517,8.000000208818644,0.21462665125727654,-1.8402081727981567,0.48008153835932416
TEX__shard_05_f1228,hough,1,865.3323364257812,1.2772772415811746,1.1894092333095618,0.0013745114833248536,0.08786800827161279,0.6932017564195819,1.714637585685949,0.19801130890846252,-0.1533607840538025,0.4326457108060519
G38__G__f25107,hough,1,800.0,2.025313670123289,2.1430081413395863,0.002678760176674483,-0.11769447121629728,0.7837211786584167,1.4578664771145926,0.22716218357284865,-0.3023597002029419,0.5181285664439201
TEX__shard_01_f0396,hough,1,791.9595947265625,1.276699507376044,1.4837014340554764,0.0018734559741873567,-0.2070019266794323,1.0346596342189558,2.4930310122291828,0.21076215555270514,-0.46705102920532227,0.4550417736172676
TEX__shard_06_f0180,hough,1,791.9595947265625,4.138448724270178,4.050878924306547,0.005115007067633522,0.08756979996363157,1.0484710459443796,1.7387358517222955,0.2194570116698742,-0.19041652977466583,0.4122331738471985
TEX__shard_06_f0157,hough,1,800.0,4.10041069322593,4.08483054690248,0.0051060381836281,0.015580146323450172,0.8176524130366761,1.5565885673936148,0.19979861875375113,-0.19947771728038788,0.41263922800620395
TEX__shard_06_f0310,hough,1,1101.45361328125,1.5950173319204193,1.853097734993119,0.0016824110544907177,-0.25808040307269975,1.7894733480960205,2.721053594498595,0.2139790989458561,-0.8564773201942444,0.3894425456722577
G38__G__f4537,hough,1,800.0,2.036271134344675,2.358365396932361,0.002947956746165451,-0.3220942625876857,1.9950042458504709,4.40708578289076,0.3046039504309495,-0.7546851634979248,0.4293353681763013
TEX__shard_02_f1010,hough,1,800.0,1.3840123694156454,1.3067184639255638,0.0016333980799069546,0.07729390549008164,0.4567318504172655,0.7217363944677879,0.2047450045744578,-0.027889056131243706,0.5222320655981699
G38__G__f5785,hough,1,865.3323364257812,4.256050002377531,4.253254441305872,0.004915168730286632,0.002795561071659236,1.5433744425713556,2.9479394587567143,0.21565836916367212,-0.5399549603462219,0.4803726201256116
P0__shard_07_f1015,hough,1,1101.45361328125,2.576841726457877,1.9251085126043743,0.0017477890029970863,0.6517332138535026,1.0968850963931822,1.6795311375839463,0.1883879111458858,0.3274078071117401,0.4939858441551526
TEX__shard_05_f0679,hough,1,800.0,1.8301146763239087,1.9635271955306017,0.002454408994413252,-0.13341251920669306,0.7845632091844299,2.1343724134429696,0.21604508409897485,-0.10298770666122437,0.4463302567601204
P0__shard_02_f1202,hough,1,1101.45361328125,3.966419263640379,4.691616960927919,0.004259477570690888,-0.7251976972875402,4.713727640845652,11.014536700668561,0.1878250204026699,-1.1837290525436401,0.4469538927078247
G38__G__f39772,hough,1,800.0,1.717815725867374,1.0937058496572873,0.001367132312071609,0.6241098762100867,0.9587589477471246,1.697579631017854,0.25514843314886093,-0.09234366565942764,0.5334764271974564
TEX__shard_05_f0496,hough,1,865.3323364257812,4.41859432888978,3.7662377950796566,0.0043523599391141945,0.6523565338101234,1.3472288178932255,3.459459545721037,0.16883573681116104,0.7323821187019348,0.5052422732114792
G38__G__f37410,hough,1,1101.45361328125,1.3366125602477767,2.3455011168029807,0.0021294597325943587,-1.008888556555204,1.2020046761424301,2.5737626682611356,0.19103683469196162,-0.9889354705810547,0.5272750134269396
G38__G__f4553,hough,1,800.0,6.2830740069798985,5.7628006276311154,0.007203500784538895,0.520273379348783,1.523765778573797,3.437907194212107,0.20381338770190874,0.365980863571167,0.44231204440196353
G38__G__f30791,hough,1,800.0,2.2496542686794263,2.169836717064852,0.002712295896331065,0.07981755161457427,0.8354082750357914,1.9048796427228667,0.2635054588317871,-0.20205086469650269,0.43328854193290073
P0__shard_00_f0953,hough,1,800.0,1.8603404351816935,1.86142781957296,0.0023267847744662,-0.0010873843912666548,0.9565176409178151,1.6818242243142811,0.21955574552218118,-0.10383325815200806,0.41888392964998883
P0__shard_07_f1011,hough,1,865.3323364257812,1.2007913623017332,1.6130189180505352,0.0018640455812769484,-0.412227555748802,0.8995202927338974,2.9233241312764173,0.20814524218440056,-0.41978105902671814,0.45296435058116913
P0__shard_03_f0753,hough,1,1101.45361328125,2.178056338281922,2.0461922790476885,0.001857719884319091,0.13186405923423328,0.6577759385110873,0.9662375997733645,0.2052023938546578,0.025229832157492638,0.45585736632347107
P0__shard_01_f1179,hough,1,800.0,0.8714001961140444,1.6268471629823509,0.0020335589537279386,-0.7554469668683065,0.8615364123150742,1.787816918785645,0.2083558707187573,-0.6609116196632385,0.45863231271505356
