arm,seed,eta,frame_id,evaluable,E_sym,E_fixed,frame_mean_px,fixed_frame_mean_px,branch,n_corners,center_error_px,rescue,true_collapse
B2_THREE_EQUAL,3,1.0,P0__shard_01_f0289,True,0.00300752311967298,0.00300752311967298,3.3126471222579448,3.3126471222579448,0,6,8.091702878668595,False,False
B2_THREE_EQUAL,3,1.0,P0__shard_00_f0593,True,0.0032659261281116807,0.0032659261281116807,2.6127409024893447,2.6127409024893447,0,8,2.220843966597696,False,False
B2_THREE_EQUAL,3,1.0,G38__G__f16920,True,0.0037557275362384754,0.0037557275362384754,2.9743844582628634,2.9743844582628634,0,8,4.559630085523633,False,False
B2_THREE_EQUAL,3,1.0,G38__G__f2181,True,0.002160375799083942,0.002160375799083942,1.7283006392671538,1.7283006392671538,0,8,0.7479423257890357,False,False
B2_THREE_EQUAL,3,1.0,G38__G__f11295,True,0.003690611676371307,0.003690611676371307,2.9228153282590115,2.9228153282590115,0,8,2.0969924154408837,False,False
B2_THREE_EQUAL,3,1.0,G38__G__f15593,True,0.001210275798301942,0.001210275798301942,1.0472907475753834,1.0472907475753834,0,8,0.9351794580076194,False,False
B2_THREE_EQUAL,3,1.0,TEX__shard_06_f0858,True,0.008047717079369713,0.008047717079369713,8.864186828468657,8.864186828468657,0,8,9.648985964842446,False,False
B2_THREE_EQUAL,3,1.0,P0__shard_02_f0620,True,0.0023551801653940484,0.0023551801653940484,1.8841441323152388,1.8841441323152388,0,8,0.26179769270993763,False,False
B2_THREE_EQUAL,3,1.0,G38__G__f14032,True,0.004486920826765328,0.004486920826765328,3.5895366614122626,3.5895366614122626,0,8,3.3468704492953667,False,False
B2_THREE_EQUAL,3,1.0,G38__G__f17674,True,0.003107442366745327,0.003107442366745327,2.460968798032635,2.460968798032635,0,8,0.44171450133562157,False,False
B2_THREE_EQUAL,3,1.0,TEX__shard_01_f1225,True,0.009876679646702429,0.009876679646702429,10.878704205163341,10.878704205163341,0,8,8.590183696996725,False,False
