arm,id,detected,legacy_population,E_fixed,E_sym,fixed_mean_px,sym_mean_px,branch,annotated_corners,legacy_fixed9_px,legacy_buggy9_px,corrected9_px,mask_bug_changed_metric,mask_noninvariant,mask_changed_slots,rescue,true_collapse
F0,forklift_v4_20260903_190743_manual_gt__000090,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.0035557068634722087,0.0035557068634722087,2.844565490777767,2.844565490777767,0,8,2.5586107492975674,2.5586107492975674,2.5586107492975674,False,False,0,False,False
F0,forklift_v4_20260903_190743_manual_gt__000280,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.0016388113422079104,0.0016388113422079104,1.3110490737663283,1.3110490737663283,0,8,1.3470219412279536,1.3470219412279536,1.3470219412279536,False,False,0,False,False
F0,forklift_v4_20260903_192118_manual_gt__000020,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.004098450568613987,0.004098450568613987,3.2787604548911893,3.2787604548911893,0,8,3.3257747410720664,3.3257747410720664,3.3257747410720664,False,False,0,False,False
F0,forklift_v4_20260903_192254_manual_gt__000030,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.0045057775418558335,0.0045057775418558335,3.604622033484667,3.604622033484667,0,8,3.4450740040503245,3.4450740040503245,3.4450740040503245,False,False,0,False,False
F0,forklift_v4_20260904_102339_manual_gt__000000,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.003952253490911003,0.003952253490911003,3.1618027927288024,3.1618027927288024,0,8,3.117392126159611,3.117392126159611,3.117392126159611,False,False,0,False,False
F0,forklift_v4_20260904_102339_manual_gt__000450,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.0012472418754506305,0.0012472418754506305,0.9977935003605043,0.9977935003605043,0,8,0.9377712083098656,0.9377712083098656,0.9377712083098656,False,False,0,False,False
F0,forklift_v4_20260904_102504_manual_gt__000060,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.004993190211844004,0.004993190211844004,3.994552169475203,3.994552169475203,0,8,3.844493193893167,3.844493193893167,3.844493193893167,False,False,0,False,False
F0,forklift_v4_20260904_103429_manual_gt__000000,False,challenge/yolo_pose_one_model/datasets/live_gt_v4,1.0,1.0,800.0,800.0,0,8,,,,False,False,0,False,True
F0,forklift_v4_20260904_103429_manual_gt__000930,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.0012533904988291072,0.0012533904988291072,1.0027123990632858,1.0027123990632858,0,8,0.9335521483319186,0.9335521483319186,0.9335521483319186,False,False,0,False,False
F0,forklift_v4_20260904_103429_manual_gt__001230,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.0013144425944522453,0.0013144425944522453,1.0515540755617963,1.0515540755617963,0,8,1.0994455177378697,1.0994455177378697,1.0994455177378697,False,False,0,False,False
F0,forklift_v4_20260904_103739_manual_gt__000000,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.0018615615268898827,0.0018615615268898827,1.4892492215119062,1.4892492215119062,0,8,1.3709465097087372,1.3709465097087372,1.3709465097087372,False,False,0,False,False
F0,forklift_v4_20260904_103739_manual_gt__000180,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.0030041256538623994,0.0030041256538623994,2.4033005230899196,2.4033005230899196,0,8,2.203966777066201,2.203966777066201,2.203966777066201,False,False,0,False,False
F0,forklift_v4_20260904_103739_manual_gt__000360,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.0017240312345385125,0.0017240312345385125,1.37922498763081,1.37922498763081,0,8,1.3706150836755004,1.3706150836755004,1.3706150836755004,False,False,0,False,False
F0,forklift_v4_20260904_103739_manual_gt__000540,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.0021480902001502,0.0021480902001502,1.7184721601201598,1.7184721601201598,0,8,1.7250379808195193,1.7250379808195193,1.7250379808195193,False,False,0,False,False
F0,forklift_v4_20260904_103739_manual_gt__000720,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.0011442228317613547,0.0011442228317613547,0.9153782654090838,0.9153782654090838,0,8,0.9203033361560004,0.9203033361560004,0.9203033361560004,False,False,0,False,False
F0,forklift_v4_20260904_104212_manual_gt__000030,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.002258659350860046,0.002258659350860046,1.8069274806880369,1.8069274806880369,0,8,1.7624533621764278,1.7624533621764278,1.7624533621764278,False,False,0,False,False
F0,forklift_v4_20260904_104212_manual_gt__000270,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.002348134465589752,0.002348134465589752,1.8785075724718017,1.8785075724718017,0,8,1.7850716235527813,1.7850716235527813,1.7850716235527813,False,False,0,False,False
F0,forklift_v4_20260904_105241_manual_gt__000000,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.002530510287199205,0.002530510287199205,2.024408229759364,2.024408229759364,0,8,1.8266236338740574,1.8266236338740574,1.8266236338740574,False,False,0,False,False
